,Ticker,Type,Strike,Expiration,Filled,Current Premium,P/L
0,$OSTK,Call,90,2021-03-19,7.9,3.75,-415
1,$AUY,Call,5.5,2022-01-21,1.00,1.26,26
2,$SLV,Call,30,2022-01-21,1.9,2.65,75
3,$PLTR,Call,35,2022-01-21,6.25,8.76,250
4,$TLRY,Call,15,2021-01-15,.78,0.18,-60
5,$BBY,Call,115,2021-01-15,1.9,0.46,-144
6,$MARA,Call,7.5,2021-03-19,2.25,4.94,269
7,$MGNI,Call,22.5,2021-06-18,3.8,13.16,936
8,$QQQJ,Call,31,2021-03-19,1.3,2.11,80
9,$IPOB,Call,30,2021-02-19,4.9,5.1,19
10,$BABA,Call,300,2021-04-16,7.4,6.85,-55
11,$SNOW,Call,350,2020-12-24,6.1,0.29,-581
12,$PTON,Put,90,2021-03-19,3.7,1.28,-242
13,$FUV,Call,20,2021-04-16,2.5,3.1,60
14,$HCAC,Call,25,2021-01-15,2.4,2.1,-29
15,$PIC,Call,20,2021-05-21,4.1,6.0,190
16,$TRIT,Call,10,2021-08-20,2.5,5.0,250
17,$GOLD,Call,30,2021-03-19,.38,0.31,-7
18,$BLOK,Call,34,2021-08-20,2.9,4.8,190
19,$FSLY,Call,120,2021-01-22,3.6,3.5,-10
20,$SKLZ,Call,30,2021-12-17,5.7,6.2,50
21,$CLNE,Call,10,2021-03-19,.60,1.89,129
